area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;001304;062;01;1;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2713;102,542333745242;010150001304;01015000130406201;010150001304062011;202601
1;010150;001304;062;02;1;2;3;1;2;2;2;3;2;2;2;2;2;1;2;2;2;2713;102,542333745242;010150001304;01015000130406202;010150001304062021;202601
1;010150;001304;062;03;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2713;102,542333745242;010150001304;01015000130406203;010150001304062031;202601
1;010150;001304;062;04;1;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;3;2713;102,542333745242;010150001304;01015000130406204;010150001304062041;202601
1;010150;001304;062;05;1;2;2;1;2;2;3;2;2;2;2;3;2;1;2;2;2;2713;102,542333745242;010150001304;01015000130406205;010150001304062051;202601
1;010150;001304;062;06;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2713;102,542333745242;010150001304;01015000130406206;010150001304062061;202601
1;010150;001304;062;07;1;2;3;3;3;3;3;3;2;3;3;3;3;2;3;3;3;2713;102,542333745242;010150001304;01015000130406207;010150001304062071;202601
1;010150;002701;062;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;389,049013291653;010150002701;01015000270106201;010150002701062011;202601
1;010150;002701;062;02;1;2;2;1;1;1;1;2;2;2;2;2;2;3;3;3;3;2713;389,049013291653;010150002701;01015000270106202;010150002701062021;202601
1;010150;002701;062;03;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;389,049013291653;010150002701;01015000270106203;010150002701062031;202601
1;010150;002701;062;04;1;3;3;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;389,049013291653;010150002701;01015000270106204;010150002701062041;202601
1;010150;002701;062;05;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2713;389,049013291653;010150002701;01015000270106205;010150002701062051;202601
1;010150;002701;062;06;1;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2713;389,049013291653;010150002701;01015000270106206;010150002701062061;202601
1;010150;002701;062;07;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;389,049013291653;010150002701;01015000270106207;010150002701062071;202601
1;010150;003202;062;01;1;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2711;137,185358132277;010150003202;01015000320206201;010150003202062011;202601
